Country,SVG,Int$
Australia,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAUCAMAAADImI+JAAAAdVBMVEUBIWn+/v8LKm8rRoLsS2lZa5sCI2rkACvAyNojP317jLGrtc2qtc3FzN1fc6FBWY/5w83ecIr+8vQRL3P5x9DY3ejU2OVeZpZLVIn709oYNndNZJacqcWLmrra3unVZ4Xy9Pj22uFEXJHIz94VM3XUZYPb3+rlcwqvAAAAz0lEQVQoz7WQyRKDIBBEB2STRHHfTdQs//+JQVxiSlNFDunLAPOomW4gycVnAHDi/KwLoyEJ4EjFgyQpXcBcY54C+IpmdAQNNmxavv8+C62sLyPEeVRGXTbelx72BF5BfqC16bpgB25lRnd6KucoKvuP0UaOdObT4CUkzEczNA3ItZheq2oxhKYUlMHmeNiK4ps3+7jXzFSN0W3g/jMgY5WSwS+i1BLcBrS4c6x+xrJpZGxDtgi1NpwSCAlls44rxG5vfEnxHozjvUFaw//0ApepC3HnUeodAAAAAElFTkSuQmCC",59
Austria,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbAQMAAAA03l8tAAAABlBMVEXIEC7///94b0yLAAAAEklEQVQI12NgIAv8BwGSSbIAADA3LNT5TsD+AAAAAElFTkSuQmCC",74
Belgium,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAjBAMAAAAUF1WdAAAAD1BMVEXvM0AAAAD92iX4oi2okRgdxzYaAAAAGUlEQVQoz2MQBAMRJTAwYICAUcFRwWEhCADCrTMjCu9IjwAAAABJRU5ErkJggg==",75
Canada,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAUCAMAAADImI+JAAAASFBMVEX/////ubn/oqL/Z2f/Jib/09P/7e3/AAD/+/v/Gxv/W1v/rq7/eXn/nZ3/DAz/OTn/AwP/Pj7//Pz/QED/PT3/g4P/xsb/xcWY5npoAAAAkUlEQVQoz43TyQ7DIAxFUQbDNZCx4///aTdt00ohsXdPHIFsGce33E79nO5AvRjhGCxQVYs41fMbpUIVw9MzwHwKk4sA0aUj6IdW7iNAGEobfBfmBbgC3IAld6HKllhEuzDwV6HfjJ+2OPmjrlP5pJKOx5PfsuSTOWZZY61xlWxYiufDuD3eG2FrRpiSEe5+hRcblQ+AegtNbgAAAABJRU5ErkJggg==",57
Denmark,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAeBAMAAACs80HuAAAAElBMVEXIEC7////WTGPYV2zJFjPigZEAQ1emAAAAJ0lEQVQoz2NgAANHQWEGDDDsBZXAQFFQVAkBGASxAEoFsVo0gkMeAIyVE9snzfM0AAAAAElFTkSuQmCC",78
Finland,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAYBAMAAAB6qqLzAAAAElBMVEW/ytoAL2z///8bRHw2W4sBL2zkHzVXAAAAKElEQVQY02NQAgFlQUERJQRgGISCYMAMFGRAAoKYQJR+glidNETCEwBPSDATCt0c6gAAAABJRU5ErkJggg==",69
France,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbBAMAAAD8PtBdAAAAD1BMVEXtKTkAI5X///+qtdz5uL22UrpzAAAAGElEQVQoz2MQBANhJTBwYICAUcFRQbyCAK7MKQicBg83AAAAAElFTkSuQmCC",68
Germany,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAYAgMAAAD16ldTAAAACVBMVEUAAADdAAD/zgDGIigcAAAAFUlEQVQY02NgoBEIhQPqMlfBAVWZANYST7G6bxb2AAAAAElFTkSuQmCC",68
Global Ave.,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAbCAMAAAA5zj1cAAAAOVBMVEUAnttQvOYwsOJBt+RvyOsLot17ze0CntsUpt4hqt+V1/Bcweg3s+OG0e655PWi3PL1/P7Q7fnF6fdfz72MAAAArklEQVQ4y+XTtxXDMAwEUCISiUHaf1gvYMqubdT/obgDWm9fTW+/DpHsIxTqguYmQvIEkc3F0Gm4cZ2hKEsVEcAcpipHmFniAF4whhDDEcJyM5oxLyXHdYY5MTM2656ZNfMIOZxvTrw2mHvweaMW72l67UQrPW+sCCP2vPdAi6hzjiPUjdCXua7xELitUCTA1jWWPFWIGkwAxKH42HV3HiACg/3z9Vhr9oc/8xa+AAPCB1zdfbV3AAAAAElFTkSuQmCC",26
Guyana,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAACgAAAAYCAMAAAC/Wk/yAAAAb1BMVEUqk2pJonyjyqM3mXIwlm3U37sdBgW+Hi3/wg728ND/3XiEvJZpsYpfDxaFFB9CIhDp6841CQv/yy//xRn/117/6ae81a//45CvfQv/0Uf5vQ10SQrdpQ2mGiciCwb97bv+8MOvgRvy6MF0UzajtpZJ4in6AAAAnklEQVQoz42T2RKCMBAEUYvMogTEEy/w+v9vVElKEwJm5rmrprPZTcpnnlAp1OOeLmZxENDNbd4up5MoiEtVntebbbbLIyBQqNNR5LDP/kjARDe1vLMal7Bg1/9BZUwC35j+LkMScGL7xUhcfQkX/PUPSMCP09+TQD9a1eLFSoRgFYBtGoJkNfsYcjzkwNkvJJeCXDN2cclToI+LPdcX8pQWlsH90IEAAAAASUVORK5CYII=",70
