Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
power bi,JPY,2740000,0%,0%,Low,8,31,307,,,,Y,,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2240000,2740000,2740000,2740000,2740000
powerbi,JPY,2740000,0%,0%,Low,8,31,307,,,,,,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2240000,2740000,2740000,2740000,2740000
microsoft power bi,JPY,110000,0%,0%,Low,12,40,450,,,,,,110000,135000,110000,110000,110000,110000,110000,90500,135000,110000,135000,110000
microsoft bi,JPY,18100,0%,-18%,Low,14,62,688,,,,,,22200,22200,22200,18100,18100,18100,18100,14800,18100,18100,18100,18100
power bi consulting,JPY,3600,23%,0%,Low,18,337,6976,,,,,,4400,2900,2900,2900,2900,2900,2900,2900,3600,4400,6600,5400
power bi dashboard,JPY,60500,-18%,0%,Low,13,69,691,,,,Y,,60500,60500,60500,60500,60500,60500,60500,49500,60500,74000,74000,60500
power bi consulting services,JPY,1000,90%,-21%,Low,5,241,10360,,,,,,1900,1000,720,880,880,720,590,590,720,1000,1300,1900
power bi service,JPY,60500,-18%,22%,Low,5,132,3689,,,,Y,,60500,49500,60500,60500,60500,60500,60500,49500,74000,74000,74000,60500
udemy power bi,JPY,6600,0%,0%,Medium,42,22,191,,,,,,6600,6600,8100,6600,6600,6600,5400,5400,6600,6600,6600,6600
ms power bi,JPY,6600,0%,-19%,Low,12,62,551,,,,,,8100,6600,8100,6600,6600,6600,6600,5400,6600,6600,6600,6600
microsoft powerbi,JPY,110000,0%,0%,Low,12,40,450,,,,,,110000,135000,110000,110000,110000,110000,110000,90500,135000,110000,135000,110000
power bi expert,JPY,1000,30%,48%,Low,29,124,2884,,,,,,880,1000,1000,1000,880,880,1000,880,1000,1000,1300,1300
bi dashboard,JPY,9900,0%,0%,Low,15,110,1285,,,,Y,,9900,9900,9900,8100,8100,9900,9900,9900,9900,9900,12100,9900
bi reporting,JPY,8100,0%,0%,Low,11,209,1528,,,,,,8100,6600,6600,6600,6600,8100,6600,6600,8100,8100,9900,8100
power bi bootcamp,JPY,720,0%,-18%,High,69,113,1334,,,,,,720,720,880,720,590,880,720,480,880,590,590,590
power bi pricing,JPY,12100,0%,0%,Low,8,192,1261,,,,,,14800,12100,14800,12100,12100,12100,12100,9900,12100,12100,12100,12100
coursera power bi,JPY,2900,0%,21%,Medium,48,55,543,,,,,,2900,2900,3600,2900,2900,2900,2900,2400,3600,2900,2900,2900
power bi web,JPY,12100,0%,22%,Low,6,68,1237,,,,,,12100,9900,12100,9900,12100,12100,9900,9900,9900,12100,12100,12100
power bi udemy,JPY,6600,0%,0%,Medium,42,22,191,,,,,,6600,6600,8100,6600,6600,6600,5400,5400,6600,6600,6600,6600
power bi tool,JPY,4400,0%,-19%,Low,22,40,573,,,,,,5400,5400,5400,4400,4400,4400,4400,4400,5400,4400,5400,4400
power bi for beginners,JPY,2900,-17%,-17%,Medium,42,56,509,,,,,,3600,2900,2900,2900,2900,2400,2400,2400,2900,2900,2900,2400
microsoft business intelligence,JPY,18100,0%,-18%,Low,14,62,688,,,,,,22200,22200,22200,18100,18100,18100,18100,14800,18100,18100,18100,18100
power bi coursera,JPY,1900,-16%,0%,Medium,47,54,523,,,,,,1900,1900,1900,1900,1900,1600,1600,1600,1900,1900,1900,1600
excel power bi,JPY,3600,-19%,-19%,Low,28,33,273,,,,,,3600,3600,3600,3600,2900,3600,2900,2400,3600,3600,3600,2900
power bi cost,JPY,3600,22%,0%,Low,8,358,1261,,,,,,4400,4400,3600,3600,3600,3600,3600,2900,3600,3600,3600,4400
power b1,JPY,1300,0%,0%,Medium,37,54,844,,,,,,1300,1300,1300,1300,1300,1300,1300,880,1300,1300,1300,1300
power bi analytics,JPY,880,0%,-12%,Low,20,108,996,,,,,,1000,880,880,880,880,880,880,720,880,880,1000,880
power bi cloud,JPY,2400,0%,-17%,Low,8,156,1416,,,,,,2900,2400,2400,2400,2400,2400,2400,1900,1900,2400,2900,2400
microsoft power,JPY,6600,0%,0%,Low,4,72,524,,,,,,6600,6600,6600,5400,6600,6600,6600,5400,6600,6600,6600,6600
jira power bi,JPY,1300,0%,-19%,Low,18,289,1212,,,,,,1600,1300,1300,1000,1300,1300,1000,880,1000,1300,1300,1300
kursus power bi,JPY,1000,30%,48%,Medium,59,75,1249,,,,,,880,1300,1300,1000,1000,880,1000,720,1000,1000,1000,1300
power bi reporting,JPY,12100,0%,0%,Low,10,190,1514,,,,Y,,12100,12100,12100,12100,12100,12100,12100,9900,12100,12100,12100,12100
power business intelligence,JPY,2740000,0%,0%,Low,8,31,307,,,,,,2740000,2740000,2740000,2740000,2740000,2740000,2740000,2240000,2740000,2740000,2740000,2740000
tableau power bi,JPY,5400,0%,0%,Low,18,46,534,,,,,,5400,5400,5400,4400,4400,4400,4400,4400,5400,5400,6600,5400
azure power bi,JPY,1600,0%,-33%,Low,7,109,1076,,,,,,1900,1900,1900,1600,1900,1600,1300,1300,1600,1600,1600,1600
bi consulting,JPY,6600,0%,23%,Low,10,227,1211,,,,,,6600,5400,6600,5400,5400,5400,5400,4400,6600,8100,8100,8100
bi tableau,JPY,2900,24%,24%,Low,13,64,722,,,,,,2900,2900,2900,2400,2900,2900,2400,2400,2400,2900,3600,3600
google bi,JPY,2900,0%,-19%,Low,10,81,2429,,,,,,3600,3600,2900,2900,2900,2900,2900,2400,2900,2900,2900,2900
power bi com,JPY,9900,0%,0%,Low,5,66,431,,,,,,9900,9900,9900,9900,9900,9900,9900,8100,9900,9900,9900,9900
data science academy power bi,JPY,880,0%,-12%,Medium,53,34,147,,,,,,880,880,880,880,880,1000,880,590,1000,880,880,880
datacamp power bi,JPY,1300,-23%,0%,Low,24,45,598,,,,,,1300,1300,1300,1300,1000,1000,1000,880,1000,1300,4400,1000
edureka power bi,JPY,210,-35%,-58%,Medium,59,69,281,,,,,,210,260,260,320,260,210,260,210,210,170,170,110
powerbi microsoft,JPY,12100,0%,-18%,Low,16,46,419,,,,,,14800,14800,14800,12100,12100,12100,12100,9900,12100,12100,12100,12100
gartner power bi,JPY,390,-33%,-46%,Low,20,201,1155,,,,,,480,590,390,390,390,390,320,210,260,390,390,260
power bi office 365,JPY,1000,-12%,-32%,Low,15,69,604,,,,,,1000,1000,1000,880,1000,1000,1000,720,1000,1000,1000,880
ms bi,JPY,880,0%,-12%,Low,11,140,1547,,,,,,880,880,880,880,880,880,720,720,880,880,880,880
snowflake bi,JPY,480,0%,23%,Low,19,225,1029,,,,,,590,480,480,390,480,480,480,390,480,590,720,590
power bi financial dashboard,JPY,1300,-23%,0%,Low,26,228,1386,,,,,,1300,1300,1300,1000,1300,1300,1000,880,1300,1300,1300,1000
simplilearn power bi,JPY,480,-19%,50%,Low,26,50,258,,,,,,390,390,590,590,720,480,480,390,590,590,590,480
excel bi,JPY,2400,0%,-17%,Low,16,33,340,,,,,,2400,2400,2400,2400,2400,2400,1900,1900,2400,2400,2400,2400
power bi google analytics,JPY,1000,0%,-32%,Low,9,151,1383,,,,,,1300,1300,1000,1000,1000,1000,880,720,1000,880,1000,880
servicenow power bi,JPY,590,-34%,-56%,Low,18,433,1588,,,,,,720,720,590,590,480,480,390,390,480,590,480,390
hr dashboard power bi,JPY,1000,-12%,0%,Low,26,109,1156,,,,,,880,880,1000,1000,880,1000,880,720,880,1000,1000,880
jira to power bi,JPY,260,23%,0%,Low,15,433,1294,,,,,,320,210,260,210,260,260,210,170,260,260,320,320
microsoft 365 power bi,JPY,1000,0%,-23%,Low,19,65,696,,,,,,1300,1000,1000,880,1000,1000,880,880,1000,1000,1300,1000
power bi application,JPY,22200,0%,23%,Low,2,46,693,,,,,,22200,18100,22200,18100,18100,22200,18100,18100,22200,22200,22200,22200
best bi tool,JPY,2400,-17%,0%,Low,23,306,3608,,,,,,2400,1900,2400,1900,1900,2400,2400,2400,2400,2900,2900,2400
hubspot power bi,JPY,320,0%,50%,Low,15,307,1958,,,,,,320,390,260,260,320,320,320,210,320,480,480,480
power bi predictive analytics,JPY,480,23%,-45%,Low,17,237,1931,,,,,,590,480,480,480,390,390,390,390,480,390,590,480
power bi and tableau,JPY,5400,0%,0%,Low,18,46,534,,,,,,5400,5400,5400,4400,4400,4400,4400,4400,5400,5400,6600,5400
bi services,JPY,1900,0%,26%,Low,4,173,1559,,,,,,1600,1600,1600,1600,1600,1600,1900,1600,2400,2400,2400,2400
power bi platform,JPY,590,-19%,-19%,Low,19,177,1241,,,,,,720,590,590,590,590,590,590,390,480,590,590,480
power bi for project management,JPY,880,0%,0%,Low,26,181,1065,,,,,,1000,880,880,720,880,880,720,720,880,880,720,880
microsoft power bi cost,JPY,880,0%,-12%,Low,12,354,1525,,,,,,1300,880,880,880,880,880,880,720,880,880,1000,880
power bi financial reporting,JPY,390,0%,22%,Low,28,149,1434,,,,,,480,320,320,320,390,320,320,260,390,390,480,390
power bi project management,JPY,880,0%,0%,Low,26,181,1065,,,,,,1000,880,880,720,880,880,720,720,880,880,720,880
microsoft bi tool,JPY,1900,-16%,0%,Low,13,169,1243,,,,,,1600,1600,1600,1600,1600,1600,1300,1300,1900,1900,3600,1600
azure bi,JPY,480,0%,-19%,Low,10,249,1251,,,,,,590,480,480,480,390,480,480,320,390,480,480,480
power bi hubspot,JPY,210,-19%,-19%,Low,14,270,1778,,,,,,210,210,210,210,210,210,170,170,260,260,210,210
business central power bi,JPY,260,-19%,0%,Low,24,329,1735,,,,,,260,210,210,210,210,260,260,210,260,320,320,260
power bi for students,JPY,590,0%,0%,Low,4,52,645,,,,,,590,590,590,590,590,590,480,390,590,480,590,480
power bi business intelligence,JPY,5400,0%,0%,Low,14,31,329,,,,,,6600,5400,5400,5400,5400,5400,5400,4400,5400,5400,6600,5400
google power bi,JPY,1300,0%,0%,Low,11,43,642,,,,,,1300,1300,1300,1300,1300,1300,1000,1000,1300,1300,1300,1300
data analytics power bi,JPY,1000,14%,0%,Low,33,61,598,,,,,,1000,1000,1000,880,880,1000,1000,880,1000,880,1000,1000
sales dashboard power bi,JPY,1600,0%,0%,Low,18,169,1313,,,,,,1900,1600,1600,1600,1600,1600,1300,1300,1300,1600,1600,1600
aws power bi,JPY,1000,0%,-38%,Low,6,108,1005,,,,,,1600,1300,1300,1000,1000,1000,1000,880,1000,1000,1000,1000
power bi simplilearn,JPY,260,-19%,0%,Low,20,47,151,,,,,,210,210,720,590,210,140,170,170,210,260,260,210
using power bi,JPY,2900,0%,0%,Low,7,56,514,,,,,,2900,3600,3600,3600,2900,2900,2900,2400,2900,2900,2900,2900
bi as a service,JPY,480,0%,125%,Low,10,176,1571,,,,,,320,260,210,320,260,210,210,210,320,720,1300,720
power bi business central,JPY,320,-18%,23%,Low,17,312,1075,,,,,,260,260,210,210,260,260,320,260,320,390,480,320
power bi hr dashboard,JPY,590,-18%,0%,Low,23,160,1158,,,,,,720,590,590,590,590,590,590,390,720,720,720,590
power bi for macbook,JPY,27100,-18%,-18%,Low,4,130,2347,,,,,,27100,27100,27100,27100,27100,27100,27100,22200,27100,27100,27100,22200
power bi website,JPY,12100,0%,22%,Low,6,68,1237,,,,,,12100,9900,12100,9900,12100,12100,9900,9900,9900,12100,12100,12100
power bi sql,JPY,1900,0%,0%,Low,16,48,486,,,,,,2400,1900,1900,1600,1600,1600,1900,1600,1600,1900,1900,1900
power bi reporting tool,JPY,170,0%,50%,Low,21,121,691,,,,,,170,170,320,210,140,140,140,110,140,210,210,210
microsoft power bi pricing,JPY,880,0%,-12%,Low,12,354,1525,,,,,,1300,880,880,880,880,880,880,720,880,880,1000,880
arcgis for power bi,JPY,880,14%,39%,Low,2,56,1172,,,,,,880,720,880,720,720,1000,880,720,880,880,1000,1000
google bi tool,JPY,720,0%,0%,Low,7,241,1911,,,,,,720,720,720,720,720,720,720,590,880,720,880,720
power bi beginner,JPY,2900,-17%,-17%,Medium,42,56,509,,,,,,3600,2900,2900,2900,2900,2400,2400,2400,2900,2900,2900,2400
salesforce bi,JPY,480,-33%,-33%,Low,18,315,1414,,,,,,480,480,480,390,390,390,320,320,390,480,1000,320
office power bi,JPY,320,0%,-18%,Low,19,42,343,,,,,,390,320,320,320,320,390,320,210,320,320,390,320
power bi 365,JPY,880,0%,0%,Low,6,66,621,,,,,,880,880,880,720,720,720,720,590,720,880,880,880
sap power bi,JPY,590,0%,-18%,Low,16,65,648,,,,,,720,720,720,590,720,590,590,480,590,590,590,590
power bi data warehouse,JPY,390,0%,-33%,Low,12,280,1443,,,,,,480,480,390,390,390,480,390,320,390,320,480,320
www powerbi,JPY,260,24%,-19%,Low,10,31,252,,,,,,210,260,320,320,260,320,320,170,210,170,210,210
pl300 power bi,JPY,1300,0%,0%,Medium,39,50,400,,,,,,1300,1600,1600,1300,1600,1300,1000,1000,1600,1300,1300,1300
power bi cloud service,JPY,260,-19%,-46%,Low,17,153,996,,,,,,320,260,320,260,260,260,210,210,210,260,260,210
power bi program,JPY,480,-19%,0%,Low,29,62,608,,,,,,480,390,480,480,480,480,390,390,480,590,480,480
microsoft data analysis,JPY,480,-19%,-19%,Low,20,48,553,,,,,,590,590,390,480,480,480,480,390,590,590,590,480
power bi data,JPY,1600,0%,-16%,Low,10,85,847,,,,,,1900,1600,1900,1600,1600,1600,1600,1300,1600,1600,1900,1600
w3schools power bi,JPY,1000,-23%,14%,Low,11,37,433,,,,,,1000,1300,1600,1300,1000,1000,1000,1000,1000,1300,1300,1000
power bi professional,JPY,18100,0%,0%,Low,10,56,469,,,,,,18100,18100,18100,14800,18100,18100,14800,12100,18100,18100,18100,18100
power bi what is it,JPY,1000,-23%,14%,Low,8,42,358,,,,,,1000,880,880,880,880,1000,880,880,1000,1300,1300,1000
power bi project,JPY,6600,0%,-18%,Low,10,25,404,,,,,,6600,6600,6600,6600,6600,5400,5400,5400,6600,5400,6600,5400
bi data,JPY,1900,19%,0%,Low,6,65,909,,,,,,1900,1900,1900,1900,1900,1600,1600,1600,1900,1600,1900,1900
power bi interactive dashboard,JPY,590,-18%,-18%,Low,14,97,719,,,,,,720,590,720,720,720,590,590,480,590,720,720,590
power bi i,JPY,480,-19%,-19%,Low,28,45,338,,,,,,480,480,480,480,590,590,590,390,590,590,480,480
power bi mongodb,JPY,480,0%,-46%,Low,13,216,1158,,,,,,590,590,590,480,480,590,480,320,390,390,390,390
pragmatic works power bi,JPY,260,0%,24%,Low,29,213,975,,,,,,210,210,260,320,320,260,210,210,260,260,260,260
bi qlik,JPY,210,0%,-19%,Low,19,68,634,,,,,,170,210,210,170,210,210,170,140,170,210,210,210
power bi inventory dashboard,JPY,260,0%,23%,Low,14,161,3240,,,,,,320,260,320,260,260,260,260,170,260,320,390,320
microsoft bi stack,JPY,320,-34%,-56%,Low,8,238,1149,,,,,,390,320,320,320,320,320,260,210,260,320,320,210
advanced power bi,JPY,480,-19%,-34%,Medium,35,56,505,,,,,,720,590,590,590,480,480,480,390,480,480,480,390
microsoft power bi service,JPY,390,0%,-19%,Low,9,128,2598,,,,,,390,390,590,390,390,320,390,390,390,390,480,390
salesforce power bi,JPY,390,0%,-19%,Low,15,301,1261,,,,,,480,480,480,390,390,390,390,390,390,390,390,390
power bi solutions,JPY,390,23%,23%,Low,14,90,1327,,,,,,480,390,390,390,260,260,210,390,590,480,480,590
sql and power bi,JPY,390,-18%,-18%,Medium,36,77,658,,,,,,480,390,480,390,390,320,320,260,320,390,390,320
power bi visualizations,JPY,3600,0%,-18%,Low,6,116,589,,,,,,4400,4400,4400,3600,3600,3600,3600,2900,3600,3600,4400,3600
lokesh lalwani power bi,JPY,140,29%,-57%,Low,23,40,107,,,,,,210,210,260,140,90,90,70,110,140,70,90,90
power bi azure devops,JPY,260,-19%,-46%,Low,8,241,1336,,,,,,390,320,320,260,260,320,260,210,260,260,260,210
microsoft power bi for dummies,JPY,170,24%,53%,Medium,47,72,490,,,,,,170,170,140,140,170,140,170,170,170,210,210,260
power bi data analysis,JPY,1000,14%,0%,Low,33,61,598,,,,,,1000,1000,1000,880,880,1000,1000,880,1000,880,1000,1000
power bi on aws,JPY,1000,0%,-38%,Low,6,108,1005,,,,,,1600,1300,1300,1000,1000,1000,1000,880,1000,1000,1000,1000
snowflake power bi,JPY,720,0%,-18%,Low,6,296,1375,,,,,,880,720,720,720,720,720,720,590,720,720,720,720
mongodb power bi,JPY,210,-33%,-56%,Low,12,240,1185,,,,,,260,260,260,210,210,210,170,170,140,210,170,140
power bi what is,JPY,74000,0%,0%,Low,7,28,443,,,,,,74000,90500,90500,74000,74000,74000,60500,60500,74000,74000,74000,74000
power bi project dashboard,JPY,320,-18%,0%,Low,13,153,619,,,,,,320,320,320,260,320,320,260,260,260,390,320,320
microsoft power b,JPY,260,0%,-19%,Low,23,91,1046,,,,,,260,260,210,210,260,260,260,210,260,210,260,210
